iter	Passed	Remaining
0	309	308818
1	320	160024
2	333	110959
3	345	86109
4	358	71358
5	373	61825
6	392	55637
7	404	50197
8	415	45728
9	429	42517
10	442	39807
11	456	37624
12	470	35757
13	483	34064
14	499	32777
15	513	31554
16	526	30471
17	558	30482
18	592	30581
19	609	29863
20	661	30857
21	782	34785
22	870	36959
23	898	36523
24	925	36080
25	948	35545
26	962	34682
27	978	33974
28	999	33473
29	1018	32938
30	1045	32680
31	1066	32250
32	1082	31707
33	1092	31046
34	1104	30449
35	1116	29888
36	1126	29320
37	1138	28810
38	1151	28369
39	1164	27952
40	1175	27492
41	1186	27062
42	1198	26670
43	1208	26258
44	1219	25890
45	1235	25630
46	1263	25614
47	1277	25334
48	1290	25048
49	1304	24790
50	1321	24581
51	1334	24327
52	1346	24055
53	1356	23759
54	1369	23526
55	1381	23289
56	1394	23078
57	1405	22821
58	1417	22614
59	1429	22395
60	1439	22159
61	1454	22007
62	1468	21837
63	1479	21643
64	1491	21456
65	1501	21245
66	1512	21057
67	1523	20875
68	1533	20688
69	1545	20536
70	1557	20385
71	1568	20222
72	1580	20074
73	1592	19927
74	1602	19768
75	1613	19618
76	1625	19481
77	1635	19338
78	1649	19227
79	1663	19126
80	1675	19007
81	1685	18873
82	1696	18745
83	1708	18631
84	1719	18508
85	1729	18381
86	1741	18275
87	1752	18163
88	1765	18069
89	1776	17966
90	1788	17868
91	1798	17749
92	1809	17651
93	1822	17561
94	1833	17467
95	1844	17364
96	1856	17283
97	1867	17191
98	1877	17088
99	1889	17003
100	1900	16914
101	1910	16816
102	1921	16737
103	1932	16651
104	1942	16557
105	1955	16488
106	1967	16417
107	1977	16329
108	1988	16252
109	2000	16186
110	2010	16101
111	2021	16028
112	2033	15959
113	2045	15893
114	2059	15848
115	2076	15822
116	2089	15769
117	2103	15721
118	2113	15650
119	2124	15576
120	2135	15513
121	2148	15461
122	2158	15389
123	2171	15340
124	2182	15280
125	2192	15210
126	2204	15151
127	2215	15093
128	2225	15026
129	2237	14976
130	2249	14924
131	2260	14863
132	2271	14810
133	2283	14757
134	2295	14706
135	2305	14649
136	2317	14596
137	2329	14548
138	2338	14487
139	2350	14441
140	2363	14398
141	2374	14346
142	2387	14306
143	2399	14262
144	2411	14219
145	2421	14162
146	2432	14115
147	2444	14070
148	2454	14018
149	2467	13983
150	2479	13939
151	2488	13884
152	2502	13851
153	2513	13809
154	2525	13769
155	2535	13720
156	2548	13683
157	2560	13645
158	2571	13601
159	2583	13560
160	2594	13518
161	2603	13469
162	2616	13433
163	2627	13393
164	2637	13345
165	2648	13307
166	2660	13268
167	2669	13220
168	2682	13190
169	2694	13154
170	2705	13114
171	2715	13072
172	2726	13033
173	2736	12991
174	2747	12953
175	2759	12918
176	2770	12881
177	2781	12845
178	2794	12817
179	2808	12793
180	2821	12767
181	2834	12737
182	2847	12710
183	2858	12677
184	2869	12641
185	2879	12601
186	2892	12573
187	2905	12547
188	2916	12513
189	2927	12478
190	2938	12445
191	2948	12407
192	2959	12375
193	2971	12347
194	2982	12310
195	2994	12284
196	3005	12252
197	3016	12217
198	3026	12183
199	3038	12152
200	3050	12125
201	3060	12090
202	3071	12060
203	3084	12035
204	3094	12002
205	3106	11972
206	3117	11943
207	3128	11910
208	3142	11892
209	3154	11866
210	3166	11839
211	3177	11811
212	3189	11784
213	3202	11760
214	3214	11736
215	3223	11701
216	3234	11670
217	3244	11637
218	3255	11610
219	3266	11582
220	3276	11549
221	3288	11523
222	3302	11508
223	3315	11485
224	3324	11451
225	3335	11424
226	3346	11396
227	3356	11365
228	3367	11339
229	3379	11312
230	3388	11281
231	3402	11261
232	3413	11238
233	3423	11206
234	3438	11194
235	3461	11205
236	3474	11186
237	3489	11173
238	3505	11160
239	3523	11158
240	3537	11140
241	3549	11117
242	3560	11092
243	3570	11062
